District,Building name,Last date of visit of the case(s),Related cases
Central & Western,Imperial Kennedy,,
Central & Western,The Richmond,,
Central & Western,Samtoh Building,,
Central & Western,Sum Way Mansion,,
Central & Western,Chung Ah Mansion,,
Central & Western,Central Mansion,,
Central & Western,"Block A, Midland Centre",,
Central & Western,"Block B, Midland Centre",,
Central & Western,Lyndhurst Building,,
Central & Western,Felicity Building,,
Central & Western,Central Terrace,,
Central & Western,14 Kau U Fong,,
Central & Western,New Fortune House,,
Central & Western,"Block A, New Fortune House",,
Central & Western,"Block B, New Fortune House",,
Central & Western,Scholastic Garden,,
Central & Western,Chun King Court,,
Central & Western,"Tower 2, Lyttelton Garden",,
Central & Western,19 Po Tuck Street,,
Central & Western,Wai On House,,
Central & Western,Viking Court,,
Central & Western,Kiu Fat Building,,
Central & Western,Yick Fung Building,,
Central & Western,Siu Yee Building,,
Central & Western,Shiu King Court,,
Central & Western,Siu Cheung Building,,
Central & Western,Graceful Court,,
Central & Western,Sincere Western House,,
Central & Western,"Tower 2, Kong Chian Tower",,
Central & Western,2 Hatton Road,,
Central & Western,5-7 Leung I Fong,,
Central & Western,Federate Building,,
Central & Western,Joyful Building,,
Central & Western,"Block A, Chong Yip Centre",,
Central & Western,"Block B, Chong Yip Centre",,
Central & Western,"Block C, Chong Yip Centre",,
Central & Western,"Han Yu Building, 45-55 Cadogan Street",,
Central & Western,"Block 1, Cayman Rise",,
Central & Western,"Block 2, Cayman Rise",,
Central & Western,Ka Fai Court,,
Central & Western,Millennium Court,,
Central & Western,74 Peel Street,,
Central & Western,111 Belcher's Street,,
Central & Western,179 Belcher's Street,,
Central & Western,52 Belcher's Street,,
Central & Western,"Hang Fai Building, 67-83 Belcher's Street",,
Central & Western,99 Belcher's Street,,
Central & Western,Nam Cheong Building,,
Central & Western,Nan Sang Building,,
Central & Western,Nam Wah Mansion,,
Central & Western,Grand Scholar,,
Central & Western,Hing Wong Building,,
Central & Western,Hau Fook Building,,
Central & Western,Cupford House,,
Central & Western,Ha Lung Building,,
Central & Western,42 Catchick Street,,
Central & Western,Kuk Fung Building,,
Central & Western,Tone Hing Building,,
Central & Western,Tung Tat Building,,
Central & Western,Conduit Tower,,
Central & Western,Wo Yick Mansion,,
Central & Western,Kelford Mansion,,
Central & Western,"Block 2, The Grand Panorama",,
Central & Western,5 Graham Street,,
Central & Western,"Block A, Ka Fu Building",,
Central & Western,Corona Tower,,
Central & Western,Charming Court,,
Central & Western,"Block A, Smithfield Terrace",,
Central & Western,"Block B, Smithfield Terrace",,
Central & Western,"Block C, Smithfield Terrace",,
Central & Western,"Block D, Smithfield Terrace",,
Central & Western,Skylight Tower,,
Central & Western,Kwok Ga Building,,
Central & Western,Kwok Chung House,,
Central & Western,"Tower 1, Tregunter",,
Central & Western,"Tower 2, Tregunter",,
Central & Western,"Tower 3, Tregunter",,
Central & Western,"Phase 1, Kwan Yick Building",,
Central & Western,"Block A, Phase 2, Kwan Yick Building",,
Central & Western,"Block B, Phase 2, Kwan Yick Building",,
Central & Western,"Block C, Phase 2, Kwan Yick Building",,
Central & Western,"Block D, Phase 2, Kwan Yick Building",,
Central & Western,"Block A, Phase 3, Kwan Yick Building",,
Central & Western,"Block B, Phase 3, Kwan Yick Building",,
Central & Western,Kennedy Town Building,,
Central & Western,Kennedy Town Centre,,
Central & Western,Caineway Mansion,,
Central & Western,Kennedy Town Community Complex,,
Central & Western,Kennedy Mansion,,
Central & Western,Tai Hau Wan Village,,
Central & Western,Sun Court,,
Central & Western,9 Prince's Terrace,,
Central & Western,Tai Ping Mansion,,
Central & Western,Tai King Building,,
Central & Western,10 Tai Pak Terrace,,
Central & Western,14 Tai Pak Terrace,,
Central & Western,Old Bailey Street Police Married Quarters,,
Central & Western,Fan Hing Building,,
Central & Western,Good Times Building,,
Central & Western,Wilmer Building,,
Central & Western,Wise Mansion,,
Central & Western,122 Wellington Street,,
Central & Western,2 Mercer Street,,
Central & Western,"Block 1, Academic Terrace",,
Central & Western,"Block 2, Academic Terrace",,
Central & Western,"Block 3, Academic Terrace",,
Central & Western,On Fat Building,,
Central & Western,Andes Plaza,,
Central & Western,Fu Ga Building,,
Central & Western,Fu Tai Mansion,,
Central & Western,Richwealth Mansion,,
Central & Western,Fu Moon Building,,
Central & Western,Wealth Building,,
Central & Western,"Block A, Ning Yeung Terrace",,
Central & Western,"Block A, Parkway Court",,
Central & Western,Po Tak Mansion,,
Central & Western,Bonham Court,,
Central & Western,Bonham Crest,,
Central & Western,Po Thai Building,,
Central & Western,"Tower 1, The Belcher's",,
Central & Western,"Tower 2, The Belcher's",,
Central & Western,"Tower 5, The Belcher's",,
Central & Western,"Tower 6, The Belcher's",,
Central & Western,"Tower 8, The Belcher's",,
Central & Western,"Block A, Belcher Court",,
Central & Western,Belcher's Hill,,
Central & Western,Eivissa Crest,,
Central & Western,Elegance Court,,
Central & Western,Nice Garden,,
Central & Western,Kui Yan Court,,
Central & Western,Sands Building,,
Central & Western,19 Sands Street,,
Central & Western,66 Peak Road,,
Central & Western,"Tower 3, Queen'S Terrace",,
Central & Western,The Rednaxela,,
Central & Western,"Block C, Imperial Court",,
Central & Western,39A Conduit Road,,
Central & Western,168 Connaught Road West,,
Central & Western,17 Connaught Road,,
Central & Western,Lucky Building,,
Central & Western,Goodwill Garden,,
Central & Western,Conway Mansion,,
Central & Western,"Block A, Hongway Garden",,
Central & Western,Caine Building,,
Central & Western,"Block 1, Kwong Fung Terrace",,
Central & Western,"Tower 2, Kwong Fung Terrace",,
Central & Western,Kin Yick Mansion,,
Central & Western,Kin Liong Mansion,,
Central & Western,Yee Lin Mansion,,
Central & Western,Tak Tung House,,
Central & Western,120 Des Voeux Road West,,
Central & Western,183 Des Voeux Road West,,
Central & Western,185 Des Voeux Road West,,
Central & Western,191 Des Voeux Road West,,
Central & Western,224-226 Des Voeux Road West,,
Central & Western,235 Des Voeux Road West,,
Central & Western,284 Des Voeux Road West,,
Central & Western,286 Des Voeux Road West,,
Central & Western,"Hang Yue Building, 334 Des Voeux Road West",,
Central & Western,406A Des Voeux Road West,,
Central & Western,406C Des Voeux Road West,,
Central & Western,406D Des Voeux Road West,,
Central & Western,406 Des Voeux Road West,,
Central & Western,408A Des Voeux Road West,,
Central & Western,408D Des Voeux Road West,,
Central & Western,Yee Ga Court,,
Central & Western,"Block 1, Elegant Garden",,
Central & Western,"Block 2, Elegant Garden",,
Central & Western,Yee Fung Court,,
